date,opponent,ph_goal,opp_goal,ph_goal_diff,ph_pen_goal,opp_pen_goal,ph_match_status,competition,competition_stage,sporting_event,location_city,location_country
2019-01-11,China,0,3,-3,0,0,loss,2019 afc asian cup ,group stage,afc asian cup,Abu Dhabi,United Arab Emirates
2019-01-16,Kyrgyzstan,1,3,-2,0,0,loss,2019 afc asian cup ,group stage,afc asian cup,Dubai,United Arab Emirates
2019-06-07,China,0,2,-2,0,0,loss,friendly,,friendly,Guangzhou,China
2019-09-05,Syria,2,5,-3,0,0,loss,2022 fifa world cup qualification,,fifa world cup qualification,Bacolod,Philippines
2019-09-10,Guam,4,1,3,0,0,win,2022 fifa world cup qualification,,fifa world cup qualification,Dededo,Guam
2019-10-15,China,0,0,0,0,0,draw,2022 fifa world cup qualification,,fifa world cup qualification,Bacolod,Philippines
2019-11-14,Maldives,2,1,1,0,0,win,2022 fifa world cup qualification,,fifa world cup qualification,Malé,Maldives
2019-11-19,Syria,0,1,-1,0,0,loss,2022 fifa world cup qualification,,fifa world cup qualification,Dubai,United Arab Emirates
2021-06-07,China,0,2,-2,0,0,loss,2022 fifa world cup qualification,,fifa world cup qualification,Sharjah,United Arab Emirates
2021-06-11,Guam,3,0,3,0,0,win,2022 fifa world cup qualification,,fifa world cup qualification,Sharjah,United Arab Emirates
2021-06-15,Maldives,1,1,0,0,0,draw,2022 fifa world cup qualification,,fifa world cup qualification,Sharjah,United Arab Emirates
2021-12-08,Singapore,1,2,-1,0,0,loss,2020 aff championship ,group stage,aff championship,Kallang,Singapore
2021-12-11,East Timor,7,0,7,0,0,win,2020 aff championship ,group stage,aff championship,Kallang,Singapore
2021-12-14,Thailand,1,2,-1,0,0,loss,2020 aff championship ,group stage,aff championship,Kallang,Singapore
2021-12-18,Myanmar,3,2,1,0,0,win,2020 aff championship ,group stage,aff championship,Bishan,Singapore
2022-03-23,Malaysia,0,2,-2,0,0,loss,2022 fas tri-nations series,,fas tri-nations series,Kallang,Singapore
2022-03-29,Singapore,0,2,-2,0,0,loss,2022 fas tri-nations series,,fas tri-nations series,Kallang,Singapore
2022-06-03,PFL All-Stars,0,1,-1,0,0,loss,unofficial friendly,,unofficial friendly,Biñan,Philippines
2022-06-08,Yemen,0,0,0,0,0,draw,2023 afc asian cup qualification,,afc asian cup qualification,Ulaanbaatar,Mongolia
2022-06-11,Mongolia,1,0,1,0,0,win,2023 afc asian cup qualification,,afc asian cup qualification,Ulaanbaatar,Mongolia
2022-06-14,Palestine,0,4,-4,0,0,loss,2023 afc asian cup qualification,,afc asian cup qualification,Ulaanbaatar,Mongolia
2022-07-16,East Timor,4,1,3,0,0,win,friendly,,friendly,Bali,Indonesia
2022-12-14,Vietnam,0,1,-1,0,0,loss,friendly,,friendly,Hanoi,Vietnam
2022-12-20,Cambodia,2,3,-1,0,0,loss,2022 aff championship ,group stage,aff championship,Phnom Penh,Cambodia
2022-12-23,Brunei,5,1,4,0,0,win,2022 aff championship ,group stage,aff championship,Manila,Philippines
2022-12-26,Thailand,0,4,-4,0,0,loss,2022 aff championship ,group stage,aff championship,Pathum Thani,Thailand
2023-01-02,Indonesia,1,2,-1,0,0,loss,2022 aff championship ,group stage,aff championship,Manila,Philippines
2023-03-24,Kuwait,0,2,-2,0,0,loss,friendly,,friendly,Kuwait City,Kuwait
2023-03-28,Jordan,0,4,-4,0,0,loss,friendly,,friendly,Doha,Qatar
2023-06-15,Nepal,1,0,1,0,0,win,friendly,,friendly,Manila,Philippines
2023-06-19,Chinese Taipei,2,3,-1,0,0,loss,friendly,,friendly,Manila,Philippines
2023-09-08,Chinese Taipei,1,1,0,0,0,draw,friendly,,friendly,Kaohsiung,Taiwan
2023-09-12,Afghanistan,2,1,1,0,0,win,friendly,,friendly,Manila,Philippines
2023-10-17,Bahrain,0,1,-1,0,0,loss,friendly,,friendly,Arad,Bahrain
2023-11-16,Vietnam,0,2,-2,0,0,loss,2026 fifa world cup qualification,,fifa world cup qualification,Manila,Philippines
2023-11-21,Indonesia,1,1,0,0,0,draw,2026 fifa world cup qualification,,fifa world cup qualification,Manila,Philippines
2024-03-21,Iraq,0,1,-1,0,0,loss,2026 world cup qualification,,fifa world cup qualification,Basra,Iraq
2024-03-26,Iraq,0,5,-5,0,0,loss,2026 world cup qualification,,fifa world cup qualification,Manila,Philippines
2024-06-06,Vietnam,2,3,-1,0,0,loss,2026 world cup qualification,,fifa world cup qualification,Hanoi,Vietnam
2024-06-11,Indonesia,0,2,-2,0,0,loss,2026 world cup qualification,,fifa world cup qualification,Jakarta,Indonesia
