date,opponent,ph_goal,opp_goal,ph_goal_diff,ph_pen_goal,opp_pen_goal,ph_match_status,competition,competition_stage,sporting_event,location_city,location_country
1997-02-23,Cambodia,1,1,0,3,4,loss,1997 president's cup ,3rd place play-off,president's cup,Iloilo City,Philippines
1997-10-07,Malaysia,0,4,-4,0,0,loss,1997 southeast asian games ,group stage,southeast asian games,Jakarta,Indonesia
1997-10-09,Laos,1,4,-3,0,0,loss,1997 southeast asian games ,group stage,southeast asian games,Jakarta,Indonesia
1997-10-12,Indonesia,0,2,-2,0,0,loss,1997 southeast asian games ,group stage,southeast asian games,Jakarta,Indonesia
1997-10-14,Vietnam,0,3,-3,0,0,loss,1997 southeast asian games ,group stage,southeast asian games,Jakarta,Indonesia
1997-11-27,Estonia,0,1,-1,0,0,loss,friendly,,friendly,Manila,Philippines
1998-03-24,Singapore,0,1,-1,0,0,loss,1998 aff championship qualification,,aff championship qualification,,Singapore
1998-03-26,Cambodia,1,1,0,0,0,draw,1998 aff championship qualification,,aff championship qualification,,Singapore
1998-08-27,Indonesia,0,3,-3,0,0,loss,1998 aff championship ,group stage,aff championship,Ho Chi Minh City,Vietnam
1998-08-29,Thailand,1,3,-2,0,0,loss,1998 aff championship ,group stage,aff championship,Ho Chi Minh City,Vietnam
1998-08-29,Myanmar,2,5,-3,0,0,loss,1998 aff championship ,group stage,aff championship,Ho Chi Minh City,Vietnam
1999-07-30,Thailand,0,9,-9,0,0,loss,1999 southeast asian games ,group stage,southeast asian games,Bandar Seri Begawan,Brunei
1999-08-01,Myanmar,1,4,-3,0,0,loss,1999 southeast asian games ,group stage,southeast asian games,Bandar Seri Begawan,Brunei
1999-08-03,Laos,2,3,-1,0,0,loss,1999 southeast asian games ,group stage,southeast asian games,Bandar Seri Begawan,Brunei
1999-08-08,Vietnam,0,2,-2,0,0,loss,1999 southeast asian games ,group stage,southeast asian games,Bandar Seri Begawan,Brunei
2000-01-23,China,0,8,-8,0,0,loss,2000 afc asian cup qualification,,afc asian cup qualification,Ho Chi Minh City,Vietnam
2000-01-26,Vietnam,0,3,-3,0,0,loss,2000 afc asian cup qualification,,afc asian cup qualification,Ho Chi Minh City,Vietnam
2000-01-29,Guam,2,0,2,0,0,win,2000 afc asian cup qualification,,afc asian cup qualification,Ho Chi Minh City,Vietnam
2000-11-06,Indonesia,0,3,-3,0,0,loss,2000 tiger cup ,group stage,tiger cup,Chiang Mai,Thailand
2000-11-08,Myanmar,0,3,-3,0,0,loss,2000 tiger cup ,group stage,tiger cup,Chiang Mai,Thailand
2000-11-12,Thailand,0,2,-2,0,0,loss,2000 tiger cup ,group stage,tiger cup,Chiang Mai,Thailand
2001-04-25,Lebanon,0,3,-3,0,0,loss,friendly,,friendly,Beirut,Lebanon
2001-04-30,Syria,0,12,-12,0,0,loss,2002 fifa world cup qualification,,fifa world cup qualification,Aleppo,Syria
2001-05-04,Syria,1,5,-4,0,0,loss,2002 fifa world cup qualification,,fifa world cup qualification,Aleppo,Syria
2001-05-07,Oman,0,7,-7,0,0,loss,2002 fifa world cup qualification,,fifa world cup qualification,Muscat,Oman
2001-05-11,Oman,0,2,-2,0,0,loss,2002 fifa world cup qualification,,fifa world cup qualification,Muscat,Oman
2001-05-19,Laos,0,2,-2,0,0,loss,2002 fifa world cup qualification,,fifa world cup qualification,Vientiane,Laos
2001-05-26,Laos,1,1,0,0,0,draw,2002 fifa world cup qualification,,fifa world cup qualification,Pasig,Philippines
2002-12-11,Singapore,0,2,-2,0,0,loss,friendly,,friendly,,Singapore
2002-12-17,Myanmar,1,6,-5,0,0,loss,2002 tiger cup ,group stage,tiger cup,Jakarta,Indonesia
2002-12-19,Vietnam,1,4,-3,0,0,loss,2002 tiger cup ,group stage,tiger cup,Jakarta,Indonesia
2002-12-21,Cambodia,0,1,-1,0,0,loss,2002 tiger cup ,group stage,tiger cup,Jakarta,Indonesia
2002-12-23,Indonesia,1,13,-12,0,0,loss,2002 tiger cup ,group stage,tiger cup,Jakarta,Indonesia
2004-12-08,Myanmar,0,1,-1,0,0,loss,2002 tiger cup ,group stage,tiger cup,Kuala Lumpur,Malaysia
2004-12-10,Malaysia,1,4,-3,0,0,loss,2002 tiger cup ,group stage,tiger cup,Kuala Lumpur,Malaysia
2004-12-14,East Timor,2,1,1,0,0,win,2002 tiger cup ,group stage,tiger cup,Kuala Lumpur,Malaysia
2004-12-16,Thailand,1,3,-2,0,0,loss,2002 tiger cup ,group stage,tiger cup,Kuala Lumpur,Malaysia
2006-03-26,Thailand,0,5,-5,0,0,loss,friendly,,friendly,Chonburi,Thailand
2006-04-01,Chinese Taipei,0,1,-1,0,0,loss,2006 afc challenge cup ,group stage,afc challenge cup,Chittagong,Bangladesh
2006-04-05,Afghanistan,1,1,0,0,0,draw,2006 afc challenge cup ,group stage,afc challenge cup,Chittagong,Bangladesh
2006-11-12,Laos,1,2,-1,0,0,loss,2007 aff championship qualification,,aff championship qualification,Bacolod,Philippines
2006-11-14,East Timor,7,0,7,0,0,win,2007 aff championship qualification,,aff championship qualification,Bacolod,Philippines
2006-11-18,Cambodia,1,0,1,0,0,win,2007 aff championship qualification,,aff championship qualification,Bacolod,Philippines
2006-11-20,Brunei,4,1,3,0,0,win,2007 aff championship qualification,,aff championship qualification,Bacolod,Philippines
2007-01-07,Singapore,1,4,-3,0,0,loss,friendly,,friendly,,Singapore
2007-01-12,Malaysia,0,4,-4,0,0,loss,2007 aff championship ,group stage,aff championship,Bangkok,Thailand
